2xylanase	k141_2679568	52.795	161	66	3	39	190	480	1	2.80e-49	166
2xylanase	k141_660243	52.174	138	64	2	83	219	551	141	2.82e-43	149
2xylanase	k141_2606760	60.000	110	42	2	111	219	3	329	1.40e-38	137
2xylanase	k141_745163	56.000	125	53	2	95	218	1504	1133	3.40e-38	144
2xylanase	k141_5184006	50.407	123	51	2	107	219	1	369	4.89e-34	126
2xylanase	k141_8357805	55.340	103	44	2	118	219	438	133	3.04e-32	119
2xylanase	k141_8357796	55.340	103	44	2	118	219	438	133	3.04e-32	119
2xylanase	k141_1928726	50.427	117	47	2	101	206	354	4	4.64e-31	115
2xylanase	k141_8455745	50.943	106	50	2	115	219	6	320	8.45e-31	116
2xylanase	k141_4491313	50.495	101	49	1	83	182	6	308	5.20e-30	112
2xylanase	k141_9057546	55.556	99	42	2	122	219	2	295	6.66e-29	114
2xylanase	k141_4644390	55.294	85	35	1	93	174	18	272	2.08e-26	103
2xylanase	k141_507656	53.165	79	36	1	93	170	14	250	4.05e-25	99.4
2xylanase	k141_1788294	57.143	84	35	1	136	219	345	97	7.07e-25	99.8
2xylanase	k141_1124945	56.989	93	38	2	128	219	1	276	8.86e-25	106
2xylanase	k141_3276475	55.422	83	34	1	93	172	294	46	1.66e-24	99.0
2xylanase	k141_447377	56.410	78	31	1	98	172	7	240	2.71e-23	94.7
2xylanase	k141_8453574	54.930	71	31	1	126	195	217	5	1.09e-21	90.1
2xylanase	k141_9130886	54.286	70	31	1	127	195	214	5	5.41e-20	85.9
2xylanase	k141_1778109	53.731	67	30	1	153	219	200	3	7.96e-18	80.1
2xylanase	k141_6086088	52.055	73	34	1	147	219	1	216	6.75e-17	79.7
2xylanase	k141_7540151	52.500	40	18	1	106	144	325	206	2.81e-15	50.8
2xylanase	k141_2604492	51.471	68	31	2	154	220	3	203	5.13e-13	68.6
4RecName:	k141_2616689	51.128	133	50	3	90	218	381	16	4.36e-33	125
5xylanase	k141_8397622	52.174	92	38	1	65	150	5	280	7.84e-25	102
5xylanase	k141_395145	52.174	23	10	1	101	122	4	72	8.09e-24	31.6
5xylanase	k141_8710675	50.633	79	33	1	83	155	5	241	1.31e-17	82.8
5xylanase	k141_7463459	50.980	102	49	1	127	228	357	55	4.11e-17	82.4
5xylanase	k141_8397613	52.703	74	29	1	83	150	5	226	1.20e-16	79.7
5xylanase	k141_8495296	52.703	74	29	1	83	150	5	226	1.33e-16	79.7
7xylanase	k141_1982495	57.772	386	152	4	1	376	1544	390	4.46e-143	421
